"","371-LV","372-LV","373-LV","378-LV","379-LV","380-LV","381-LV","383-LV","392-LV","393-LV"
"ENSMUSG00000102693",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951",5,5,4,1,2,9,5,0,8,8
"ENSMUSG00000102851",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000104017",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103161",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102331",1,1,4,2,3,0,3,2,1,0
"ENSMUSG00000102348",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000025900",56,26,116,40,72,41,30,48,100,100
"ENSMUSG00000102948",0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902",428,274,573,348,1040,567,491,450,637,442
"ENSMUSG00000104238",3,2,4,3,4,2,1,2,2,5
"ENSMUSG00000102269",10,2,16,5,23,6,9,9,13,14
"ENSMUSG00000096126",3,1,2,0,1,1,1,0,3,1
"ENSMUSG00000103003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104328",1,0,1,2,2,0,1,0,1,1
"ENSMUSG00000102735",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098104",4,2,9,2,5,4,4,6,2,3
"ENSMUSG00000102175",1,0,2,0,0,1,0,0,3,1
"ENSMUSG00000088000",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,1,0,0,0,0,1
"ENSMUSG00000103922",45,34,62,40,93,46,35,46,28,49
"ENSMUSG00000033845",1729,1308,1947,1539,4167,2259,1318,1333,1570,1501
"ENSMUSG00000102275",4,8,14,6,16,9,10,12,12,14
"ENSMUSG00000025903",1795,1317,2504,1909,2779,2613,1607,1699,2101,2012
"ENSMUSG00000104217",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033813",739,525,960,714,1900,1088,613,653,769,765
"ENSMUSG00000062588",13,6,13,17,17,18,17,11,11,19
"ENSMUSG00000103280",0,1,0,0,1,0,0,0,1,0
"ENSMUSG00000002459",4,3,3,3,4,0,0,1,1,1
"ENSMUSG00000091305",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033793",576,470,822,583,1541,841,514,578,593,559
"ENSMUSG00000104352",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104046",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102907",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025905",0,0,0,0,1,0,0,0,0,1
"ENSMUSG00000103936",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907",1691,1115,2402,1735,3745,2796,1520,1471,1888,1909
"ENSMUSG00000090031",63,67,130,77,121,92,82,65,87,108
"ENSMUSG00000087247",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103355",1,1,2,0,3,3,0,3,0,3
"ENSMUSG00000102706",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103845",1,1,0,0,0,1,0,0,0,1
"ENSMUSG00000033740",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000103329",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",1,0,2,0,3,0,1,0,0,0
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051285",2101,1387,3039,2094,3941,3239,1729,1765,2324,2345
"ENSMUSG00000098201",0,0,0,1,0,0,0,1,1,0
"ENSMUSG00000103509",14,9,24,8,14,20,18,8,21,15
"ENSMUSG00000048538",0,0,2,2,0,1,0,1,0,2
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",2,1,6,5,7,1,5,2,2,6
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025909",0,0,0,0,4,0,3,0,0,5
"ENSMUSG00000102647",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086235",1,1,3,0,0,0,1,0,0,1
"ENSMUSG00000102253",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000093970",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103884",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084353",0,1,0,0,0,0,0,0,1,0
"ENSMUSG00000103933",0,0,2,0,0,1,0,0,0,0
"ENSMUSG00000076135",0,0,0,1,1,1,0,0,0,0
"ENSMUSG00000086195",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066693",0,0,0,0,2,0,1,0,0,0
"ENSMUSG00000102316",0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000103819",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102871",0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000101571",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102272",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103411",0,0,1,4,1,0,0,3,1,2
"ENSMUSG00000061024",546,481,1015,715,1755,926,523,584,801,740
"ENSMUSG00000025911",2203,1489,3227,2053,4499,2943,1678,1865,2476,2357
"ENSMUSG00000079671",72,55,102,56,111,73,47,53,62,49
"ENSMUSG00000081441",1,1,8,3,16,6,12,5,5,5
"ENSMUSG00000067879",3,2,3,2,2,2,2,1,4,4
"ENSMUSG00000099827",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025912",31,25,30,47,95,37,28,29,21,38
"ENSMUSG00000045210",471,357,702,566,1200,875,472,518,580,567
"ENSMUSG00000097893",2,2,0,4,13,8,3,5,7,6
"ENSMUSG00000025915",341,234,472,377,872,554,337,283,338,350
"ENSMUSG00000046334",1,1,0,0,1,0,2,0,0,1
"ENSMUSG00000088916",0,0,2,0,0,1,0,0,0,0
"ENSMUSG00000046101",4,1,7,3,1,7,2,6,2,2
"ENSMUSG00000098234",173,142,239,143,474,220,138,157,171,150
"ENSMUSG00000093178",3,0,1,0,3,2,2,0,1,0
"ENSMUSG00000099032",19,13,11,10,24,24,10,8,17,15
"ENSMUSG00000104025",0,0,0,0,2,2,0,0,1,0
"ENSMUSG00000025916",6,2,6,11,11,10,3,2,5,9
"ENSMUSG00000087199",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095780",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025917",1728,1330,2124,1661,3650,2286,1343,1473,1660,1652
"ENSMUSG00000056763",167,136,217,159,314,235,144,157,218,158
"ENSMUSG00000102356",0,0,0,0,2,0,0,0,1,0
"ENSMUSG00000067851",3031,1673,3706,3067,7017,5116,2449,2360,3247,2977
"ENSMUSG00000088153",3,1,2,1,2,1,1,2,0,1
"ENSMUSG00000102556",0,4,4,1,1,0,1,1,2,0
"ENSMUSG00000042501",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000103810",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083422",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094979",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081417",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100212",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100648",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088585",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048960",942,827,1333,874,1629,1366,876,917,1095,1133
"ENSMUSG00000077318",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000101827",1,1,3,0,4,1,0,0,2,5
"ENSMUSG00000103494",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000057715",0,0,2,1,0,0,6,1,4,0
"ENSMUSG00000103825",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099845",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103561",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101610",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093864",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000098555",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097628",1,1,1,1,6,1,0,1,1,0
"ENSMUSG00000098163",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097171",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101314",0,0,0,0,0,0,0,0,0,0
