"","371-Liver","372-Liver","373-Liver","378-Liver","379-Liver","380-Liver","381-Liver","383-Liver","392-Liver","393-Liver"
"ENSMUSG00000102693",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951",0,2,1,0,0,0,0,1,1,0
"ENSMUSG00000102851",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000103161",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102331",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102348",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025900",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102948",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902",70,143,56,82,132,45,37,67,88,48
"ENSMUSG00000104238",3,0,0,2,0,0,0,0,0,0
"ENSMUSG00000102269",13,18,9,3,11,1,5,0,4,9
"ENSMUSG00000096126",3,3,0,0,3,0,0,1,3,0
"ENSMUSG00000103003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104328",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102735",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098104",1,1,1,1,3,5,2,3,1,0
"ENSMUSG00000102175",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103922",9,10,5,10,12,9,6,6,8,7
"ENSMUSG00000033845",1408,2434,1287,1470,2410,1403,1283,1513,1413,1483
"ENSMUSG00000102275",12,39,15,18,17,20,8,25,13,25
"ENSMUSG00000025903",3700,7464,3353,4434,6743,2314,3480,4583,4432,4418
"ENSMUSG00000104217",1,7,0,8,5,3,4,6,5,1
"ENSMUSG00000033813",1163,2264,926,1557,2274,589,926,1268,1213,1305
"ENSMUSG00000062588",2,7,3,0,6,1,0,1,3,3
"ENSMUSG00000103280",1,2,0,2,1,0,0,0,0,1
"ENSMUSG00000002459",3,4,0,2,1,2,1,1,2,1
"ENSMUSG00000091305",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033793",1304,2429,1100,1766,2060,895,1104,1414,1373,1392
"ENSMUSG00000104352",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104046",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102907",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025905",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103936",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025907",1019,2602,825,1473,2286,517,993,1493,1393,1359
"ENSMUSG00000090031",38,89,51,41,84,16,12,77,44,50
"ENSMUSG00000087247",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000103355",0,1,0,0,0,0,0,0,2,0
"ENSMUSG00000102706",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000103845",0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000033740",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103329",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102135",1,0,0,2,3,3,0,1,1,4
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051285",3035,7533,2544,4141,6917,1265,2668,3930,4109,3984
"ENSMUSG00000098201",0,0,0,0,0,0,0,1,1,0
"ENSMUSG00000103509",78,165,39,47,150,3,17,87,76,77
"ENSMUSG00000048538",59,125,42,62,53,41,60,57,98,93
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",4,3,2,2,1,4,1,1,0,2
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025909",7,19,4,5,18,0,3,10,6,12
"ENSMUSG00000102647",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000086235",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000102253",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093970",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103884",0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000084353",1,0,1,0,2,1,2,0,1,0
"ENSMUSG00000103933",2,6,1,1,0,2,1,0,2,0
"ENSMUSG00000076135",1,1,3,0,0,1,1,0,3,2
"ENSMUSG00000086195",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066693",0,1,0,0,2,0,0,0,0,0
"ENSMUSG00000102316",2,0,0,0,0,3,0,3,0,2
"ENSMUSG00000103819",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102871",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101571",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102272",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103411",1,1,0,0,0,0,0,3,1,0
"ENSMUSG00000061024",507,1016,567,683,1019,311,450,737,526,529
"ENSMUSG00000025911",2841,7298,3270,3447,5627,2128,2861,4297,4160,4626
"ENSMUSG00000079671",52,108,37,58,81,23,22,71,48,68
"ENSMUSG00000081441",11,18,3,14,21,7,4,12,14,11
"ENSMUSG00000067879",3,0,0,3,8,0,2,2,3,3
"ENSMUSG00000099827",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025912",15,18,10,15,24,6,4,15,7,11
"ENSMUSG00000045210",1077,2396,810,1411,2201,456,907,1271,1242,1203
"ENSMUSG00000097893",40,100,40,44,51,24,36,52,41,39
"ENSMUSG00000025915",240,607,230,319,491,114,201,304,314,259
"ENSMUSG00000046334",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000088916",1,0,1,0,1,0,0,0,0,0
"ENSMUSG00000046101",3,4,1,2,8,5,2,5,0,1
"ENSMUSG00000098234",154,280,164,175,258,215,168,250,187,203
"ENSMUSG00000093178",0,3,6,1,4,2,1,3,0,2
"ENSMUSG00000099032",12,88,20,8,11,1,8,12,12,5
"ENSMUSG00000104025",0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000025916",1,5,0,2,0,0,0,0,3,3
"ENSMUSG00000087199",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095780",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025917",1381,2962,1347,1768,2420,1251,1272,1788,1659,1673
"ENSMUSG00000056763",527,965,443,653,733,271,332,665,561,545
"ENSMUSG00000102356",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000067851",1949,4877,1506,2903,4583,776,1951,2446,2797,2443
"ENSMUSG00000088153",2,1,1,1,2,2,0,0,0,1
"ENSMUSG00000102556",1,0,0,2,0,1,0,0,0,0
"ENSMUSG00000042501",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103810",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083422",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094979",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081417",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100212",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100648",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000088585",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048960",144,487,150,138,340,55,149,220,429,273
"ENSMUSG00000077318",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101827",1,0,0,0,0,1,0,0,0,0
"ENSMUSG00000103494",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057715",8,1,5,1,0,0,0,1,0,0
"ENSMUSG00000103825",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099845",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103561",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101610",0,2,0,1,1,0,2,1,0,0
"ENSMUSG00000093864",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000098555",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097628",0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000098163",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097171",0,0,0,0,0,0,0,0,0,0
