condition,ID,LV mass,A,E,A',E',E/A,E/e',Lung,Heart (LV+RV),BAT,Epi,Sub,Liver,Kidney,fat mass,Free fluid,lean mass
c,381,107.164,221.025,382.762,-13.371,-17.073,1.731758851,-22.41914133,7.956873315,6.307277628,4.770889488,15.56334232,9.099730458,65.98382749,20.64150943,3.095,1.125,20.048
c,380,90.599,332.895,394.203,-7.712,-11.44,1.184166179,-34.4583042,7.373247033,7.038834951,3.425026969,13.71089536,10.22653722,82.76159655,20.17799353,3.116,1.424,20.247
c,379,96.771,301.438,478.191,-14.651,-24.015,1.586366019,-19.91217989,8.287478944,7.860752386,4.39079169,16.2380685,11.60022459,101.1341943,24.08197642,3.54,1.324,23.277
c,371,73.238,396.601,480.83,-9.892,-25.01,1.212377175,-19.2255098,8.164627364,7.775305895,5.111234705,32.34705228,17.08565072,91.20133482,23.54282536,5.639,1.675,20.784
c,378,116.576,418.656,453.182,-16.406,-15.833,1.082468662,-28.62262363,8.574549427,7.591480066,5.532495904,9.672310213,13.3915893,98.72747133,27.97378482,3.001,1.667,23.823
h,392,104.166,286.473,595.251,-20.381,-20.552,2.077860741,-28.9631666,8.737811484,7.724810401,8.477789816,111.6088841,58.78656555,78.07150596,21.68472373,9.884,1.768,22.302
h,383,90.468,319.479,459.329,-15.296,-15.553,1.437743952,-29.53314473,8.749320283,8.433931485,6.639477977,93.64328439,47.39532355,72.03371397,19.33659598,10.038,1.653,22.671
h,372,82.338,305.597,448.264,-17.738,-12.725,1.46684686,-35.2270334,8.157327586,7.268318966,6.524784483,72.92564655,36.71875,76.1637931,21.82112069,8.59,1.383,21.176
h,393,122.504,337.202,569.604,-14.139,-19.795,1.689207063,-28.77514524,8.816008894,8.349082824,11.86770428,85.64202335,60.06670372,74.25792107,21.28404669,10.166,1.806,23.575
h,373,112.614,355.078,748.111,-22.366,-21.338,2.106892007,-35.06003374,8.636853448,8.221982759,9.461206897,105.3502155,67.19288793,81.82112069,21.69719828,12.404,2.017,23.194
