label,best_affinity_kcal_mol,status
Resmetirom,-9.068,OK
Ezetimibe,-8.883,OK
Pioglitazone,-8.279,OK
Fenofibrate,-8.206,OK
Empagliflozin,-8.144,OK
Bezafibrate,-8.101,OK
Rosiglitazone,-7.841,OK
Ibuprofen,-7.233,OK
Dapagliflozin,-7.05,OK
Arachidonic_acid,-6.995,OK
Atorvastatin,-6.831,OK
Obeticholic_acid,-6.775,OK
Eicosapentaenoic_acid,-6.772,OK
Aspirin,-6.703,OK
Icosapent_ethyl,-6.693,OK
Metoprolol,-6.493,OK
Linoleic_acid,-6.467,OK
Palmitic_acid,-6.38,OK
Caffeine,-5.358,OK
Niacin,-5.078,OK
Metformin,-4.654,OK
