label,target,best_affinity_kcal_mol,status
Imatinib,Nrp1,-7.984,OK
Vatalanib,Nrp1,-7.972,OK
Semaxinib,Nrp1,-7.258,OK
Pazopanib,Nrp1,-7.231,OK
EG01377,Nrp1,-7.1,OK
Cediranib,Nrp1,-6.91,OK
Ibuprofen,Nrp1,-6.299,OK
Metoprolol,Nrp1,-5.872,OK
Aspirin,Nrp1,-5.632,OK
Fasudil,Nrp1,-5.146,OK
Caffeine,Nrp1,-4.98,OK
Imatinib,Plxna1,-9.957,OK
Pazopanib,Plxna1,-9.199,OK
EG01377,Plxna1,-9.152,OK
Cediranib,Plxna1,-8.674,OK
Vatalanib,Plxna1,-8.357,OK
Semaxinib,Plxna1,-8.153,OK
Ibuprofen,Plxna1,-6.707,OK
Metoprolol,Plxna1,-6.638,OK
Caffeine,Plxna1,-6.439,OK
Aspirin,Plxna1,-6.438,OK
Fasudil,Plxna1,-5.718,OK
