"preferredName_A","preferredName_B","score","seed_edge"
"Angptl4","Cdh5",0.866,TRUE
"Angptl4","Angptl8",0.978,TRUE
"Comp","Sdc1",0.91,TRUE
"Comp","Sdc4",0.917,TRUE
"Sdc4","Gpc4",0.702,TRUE
"Sdc4","Ext1",0.712,TRUE
"Sdc4","Hspg2",0.794,TRUE
"Sdc4","Sdcbp2",0.83,TRUE
"Sdc4","Tnr",0.904,TRUE
"Sdc4","Thbs3",0.917,TRUE
"Sdc4","Sdc2",0.918,TRUE
"Sdc4","Tnxb",0.918,TRUE
"Sdc4","Tnn",0.921,TRUE
"Sdc4","Nudt16l1",0.922,TRUE
"Sdc4","Tnc",0.95,TRUE
"Sdc4","Sdc1",0.956,TRUE
"Sdc4","Gpc1",0.97,TRUE
"Sdc1","Ext1",0.7,TRUE
"Sdc1","Gpc4",0.705,TRUE
"Sdc1","Gpc2",0.71,TRUE
"Sdc1","Sdc3",0.718,TRUE
"Sdc1","Sdcbp2",0.793,TRUE
"Sdc1","Tnn",0.903,TRUE
"Sdc1","Tnr",0.903,TRUE
"Sdc1","Tnxb",0.903,TRUE
"Sdc1","Thbs3",0.906,TRUE
"Sdc1","Tnc",0.909,TRUE
"Sdc1","Sdc2",0.924,TRUE
"Sdc1","Hpse2",0.943,TRUE
"Sdc1","Hspg2",0.96,TRUE
"Sdc1","Gpc1",0.984,TRUE
"Sdc2","Gpc1",0.937,TRUE
"Gpc4","Ext1",0.705,FALSE
"Gpc4","Hspg2",0.725,FALSE
"Gpc4","Sdc3",0.759,TRUE
"Gpc1","Ext1",0.7,FALSE
"Gpc1","Sdc3",0.719,TRUE
"Gpc1","Hspg2",0.777,FALSE
"Sdc3","Gpc2",0.755,TRUE
"Sdc3","Hspg2",0.767,TRUE
"Sdc3","Tnc",0.909,TRUE
