"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSMUSG00000022041",145.660582378684,2.57638439138763,0.175843685950858,6.1318175414205e-50,9.18300995003134e-46,"Chrna2"
"ENSMUSG00000021226",3965.40764124289,1.12129106987052,0.0919063040781843,1.64507952991441e-35,1.23183555199991e-31,"Acot2"
"ENSMUSG00000027875",1200.94711694295,2.93313922478898,0.255403028018164,7.28163702360386e-32,3.63499320218305e-28,"Hmgcs2"
"ENSMUSG00000022040",9407.00744226725,0.734916715271903,0.0687523294473734,6.45889624628196e-28,2.41821075460796e-24,"Ephx2"
"ENSMUSG00000023439",306.906898568548,-1.27498204267911,0.120371015539192,1.33360861077119e-27,3.99442451098186e-24,"Gnb3"
"ENSMUSG00000057880",618.019545966877,-1.47771595571787,0.139957193386753,2.42017394447885e-27,6.04075416541921e-24,"Abat"
"ENSMUSG00000047085",581.12326154311,-1.30608369998347,0.131308190901777,1.38127847643584e-24,2.95514663758617e-21,"Lrrc4b"
"ENSMUSG00000056666",2058.84172418092,0.894598562530846,0.0940681276087497,9.75275187524723e-23,1.82571515104628e-19,"Retsat"
"ENSMUSG00000038801",120.14262231586,-1.76007778391204,0.197567104717418,2.21194253633446e-20,3.68067238046055e-17,"Scgb1c1"
"ENSMUSG00000001555",983.584234576918,1.03103480638614,0.118612676844517,1.80544139609881e-19,2.70382903479758e-16,"Fkbp10"
"ENSMUSG00000019577",11510.5815486543,1.31528634625482,0.152345330335514,2.98756599812587e-19,4.06743530799391e-16,"Pdk4"
"ENSMUSG00000028607",7901.24573369186,0.560101051439557,0.0648486804135576,3.67286349257759e-19,4.58373363873683e-16,"Cpt2"
"ENSMUSG00000029359",3689.47264480325,0.553049777241407,0.0641793728882285,4.11561142685499e-19,4.74118436373695e-16,"Tesc"
"ENSMUSG00000072949",600.854614116945,1.35551732741335,0.164157743889202,7.3888570106004e-18,7.9039658993394e-15,"Acot1"
"ENSMUSG00000037411",987.604983673649,1.33633064124199,0.162777951302512,1.10936832780817e-17,1.10759333848368e-14,"Serpine1"
"ENSMUSG00000029311",1227.78530359704,0.860388918756151,0.105270909843908,1.49759816542136e-17,1.4017518828344e-14,"Hsd17b11"
"ENSMUSG00000030862",865.355690582915,-1.29540979550227,0.160544650665664,3.19409906159679e-17,2.81381338508668e-14,"Cpxm2"
