"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",1.47347625113342e-09,7.36738125566712e-08,0.788186810800237,0.644516481024561,2.2537316610189,193,"ENSMUSG00000022040;ENSMUSG00000056666;ENSMUSG00000028607;ENSMUSG00000027187;ENSMUSG00000053898;ENSMUSG00000028223;ENSMUSG00000036880;ENSMUSG00000026003;ENSMUSG00000001211;ENSMUSG00000027984;ENSMUSG00000026853;ENSMUSG00000056698;ENSMUSG00000031808;ENSMUSG00000002944;ENSMUSG00000028713;ENSMUSG00000033685;ENSMUSG00000004270;ENSMUSG00000032418;ENSMUSG00000025348;ENSMUSG00000002289;ENSMUSG00000030711;ENSMUSG00000022235;ENSMUSG00000048537;ENSMUSG00000033174;ENSMUSG00000028494;ENSMUSG00000028603;ENSMUSG00000021094;ENSMUSG00000029545;ENSMUSG00000026880;ENSMUSG00000025950;ENSMUSG00000024526;ENSMUSG00000022982;ENSMUSG00000049791;ENSMUSG00000045302;ENSMUSG00000032279;ENSMUSG00000030869;ENSMUSG00000026688;ENSMUSG00000020777;ENSMUSG00000047446;ENSMUSG00000002010"
"HALLMARK_FATTY_ACID_METABOLISM",4.19049622743276e-08,1.04762405685819e-06,0.719512826338911,0.685335680651442,2.311101968039,138,"ENSMUSG00000021226;ENSMUSG00000027875;ENSMUSG00000056666;ENSMUSG00000028607;ENSMUSG00000029311;ENSMUSG00000053898;ENSMUSG00000028223;ENSMUSG00000021417;ENSMUSG00000036880;ENSMUSG00000028383;ENSMUSG00000026003;ENSMUSG00000018574;ENSMUSG00000027809;ENSMUSG00000027984;ENSMUSG00000026853;ENSMUSG00000002944;ENSMUSG00000074207;ENSMUSG00000018900;ENSMUSG00000032418;ENSMUSG00000059447;ENSMUSG00000021228;ENSMUSG00000024900;ENSMUSG00000024507;ENSMUSG00000026687;ENSMUSG00000018796;ENSMUSG00000024132;ENSMUSG00000033174;ENSMUSG00000000805;ENSMUSG00000038776;ENSMUSG00000038375;ENSMUSG00000029545;ENSMUSG00000074064;ENSMUSG00000032067;ENSMUSG00000025950;ENSMUSG00000024526;ENSMUSG00000026526"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.88139467906145e-06,6.46899113176909e-05,0.610526878385931,0.571106248544041,1.99729902030037,198,"ENSMUSG00000056666;ENSMUSG00000019577;ENSMUSG00000032602;ENSMUSG00000053898;ENSMUSG00000028223;ENSMUSG00000036880;ENSMUSG00000018574;ENSMUSG00000025745;ENSMUSG00000027809;ENSMUSG00000059447;ENSMUSG00000024900;ENSMUSG00000032047;ENSMUSG00000004264;ENSMUSG00000032314;ENSMUSG00000035674;ENSMUSG00000024132;ENSMUSG00000040147;ENSMUSG00000025950;ENSMUSG00000024248;ENSMUSG00000063694;ENSMUSG00000026526;ENSMUSG00000032279;ENSMUSG00000030869;ENSMUSG00000001750;ENSMUSG00000026688;ENSMUSG00000022890;ENSMUSG00000002010;ENSMUSG00000050856;ENSMUSG00000032786;ENSMUSG00000020163;ENSMUSG00000020402;ENSMUSG00000017778;ENSMUSG00000058076;ENSMUSG00000024099;ENSMUSG00000016427;ENSMUSG00000071014;ENSMUSG00000062908;ENSMUSG00000026032;ENSMUSG00000061518;ENSMUSG00000052738;ENSMUSG00000008892;ENSMUSG00000004610"
"HALLMARK_PEROXISOME",3.58307967425633e-05,0.000358307967425633,0.557332238758646,0.68373574501086,2.17658528644813,84,"ENSMUSG00000022040;ENSMUSG00000056666;ENSMUSG00000029311;ENSMUSG00000030545;ENSMUSG00000027187;ENSMUSG00000053898;ENSMUSG00000021417;ENSMUSG00000028127;ENSMUSG00000026853;ENSMUSG00000024507;ENSMUSG00000026687;ENSMUSG00000018796;ENSMUSG00000022822;ENSMUSG00000028603;ENSMUSG00000074064;ENSMUSG00000025950;ENSMUSG00000020886;ENSMUSG00000032076;ENSMUSG00000022982"
"HALLMARK_XENOBIOTIC_METABOLISM",3.19395762269281e-05,0.000358307967425633,0.557332238758646,0.567545289198578,1.94629648411608,158,"ENSMUSG00000056666;ENSMUSG00000019577;ENSMUSG00000037411;ENSMUSG00000027187;ENSMUSG00000053898;ENSMUSG00000000326;ENSMUSG00000027809;ENSMUSG00000002944;ENSMUSG00000074207;ENSMUSG00000024413;ENSMUSG00000025277;ENSMUSG00000063558;ENSMUSG00000026687;ENSMUSG00000024778;ENSMUSG00000056973;ENSMUSG00000021236;ENSMUSG00000033318;ENSMUSG00000023829;ENSMUSG00000038776;ENSMUSG00000021094;ENSMUSG00000017314;ENSMUSG00000039239;ENSMUSG00000032067;ENSMUSG00000025950;ENSMUSG00000044573;ENSMUSG00000029650;ENSMUSG00000020777;ENSMUSG00000016194;ENSMUSG00000003623;ENSMUSG00000025934;ENSMUSG00000034118;ENSMUSG00000021360;ENSMUSG00000032786;ENSMUSG00000002103;ENSMUSG00000023044;ENSMUSG00000017344"
"HALLMARK_ANDROGEN_RESPONSE",6.7933172165565e-05,0.000566109768046375,0.538434096309916,-0.592775413209148,-1.93638153687059,89,"ENSMUSG00000001729;ENSMUSG00000034926;ENSMUSG00000025203;ENSMUSG00000012428;ENSMUSG00000015605;ENSMUSG00000035049;ENSMUSG00000093930;ENSMUSG00000050627;ENSMUSG00000028413;ENSMUSG00000029804;ENSMUSG00000058258;ENSMUSG00000027030;ENSMUSG00000032349;ENSMUSG00000062210;ENSMUSG00000024091;ENSMUSG00000038400;ENSMUSG00000029471;ENSMUSG00000027227;ENSMUSG00000039202;ENSMUSG00000056234;ENSMUSG00000021009;ENSMUSG00000032883;ENSMUSG00000021785;ENSMUSG00000056131;ENSMUSG00000054408;ENSMUSG00000021670"
"HALLMARK_G2M_CHECKPOINT",0.000178222474405178,0.0012730176743227,0.518848077743792,-0.470972020384603,-1.71996675302883,195,"ENSMUSG00000034206;ENSMUSG00000011179;ENSMUSG00000041313;ENSMUSG00000027469;ENSMUSG00000026622;ENSMUSG00000062203;ENSMUSG00000023169;ENSMUSG00000020745;ENSMUSG00000026558;ENSMUSG00000020330;ENSMUSG00000020290;ENSMUSG00000039630;ENSMUSG00000006398;ENSMUSG00000049327;ENSMUSG00000017716;ENSMUSG00000063550;ENSMUSG00000031609;ENSMUSG00000032218;ENSMUSG00000062248;ENSMUSG00000027379;ENSMUSG00000030867;ENSMUSG00000014859;ENSMUSG00000023015;ENSMUSG00000028426;ENSMUSG00000021109;ENSMUSG00000027496;ENSMUSG00000027326;ENSMUSG00000024795;ENSMUSG00000033713;ENSMUSG00000049932;ENSMUSG00000069662;ENSMUSG00000032030;ENSMUSG00000028820;ENSMUSG00000024590;ENSMUSG00000037313;ENSMUSG00000027490;ENSMUSG00000029177;ENSMUSG00000057406;ENSMUSG00000020413;ENSMUSG00000027715;ENSMUSG00000070348;ENSMUSG00000032254;ENSMUSG00000001403;ENSMUSG00000001440;ENSMUSG00000016477;ENSMUSG00000058290;ENSMUSG00000032178;ENSMUSG00000028832;ENSMUSG00000028678;ENSMUSG00000012443;ENSMUSG00000002835;ENSMUSG00000015176;ENSMUSG00000016619;ENSMUSG00000030677;ENSMUSG00000031004;ENSMUSG00000027878;ENSMUSG00000053175;ENSMUSG00000006740;ENSMUSG00000031446;ENSMUSG00000025758;ENSMUSG00000032481;ENSMUSG00000028312;ENSMUSG00000034311;ENSMUSG00000006456;ENSMUSG00000020897;ENSMUSG00000019942;ENSMUSG00000020914;ENSMUSG00000022351;ENSMUSG00000026196;ENSMUSG00000032477;ENSMUSG00000015217;ENSMUSG00000018666;ENSMUSG00000022033;ENSMUSG00000032783;ENSMUSG00000020697;ENSMUSG00000041147;ENSMUSG00000019961;ENSMUSG00000002603;ENSMUSG00000023110;ENSMUSG00000037286;ENSMUSG00000036768;ENSMUSG00000038943;ENSMUSG00000020160;ENSMUSG00000032423"
"HALLMARK_BILE_ACID_METABOLISM",0.000291558467746096,0.00161976926525609,0.49849310876659,0.637989961194273,2.02780797374509,85,"ENSMUSG00000022040;ENSMUSG00000056666;ENSMUSG00000029311;ENSMUSG00000030545;ENSMUSG00000027187;ENSMUSG00000028127;ENSMUSG00000024413;ENSMUSG00000024507;ENSMUSG00000026687;ENSMUSG00000028125;ENSMUSG00000003464;ENSMUSG00000018796;ENSMUSG00000028603;ENSMUSG00000074064;ENSMUSG00000025950;ENSMUSG00000022982;ENSMUSG00000041797"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000274193127347272,0.00161976926525609,0.49849310876659,-0.483108635156034,-1.73853471696776,166,"ENSMUSG00000057880;ENSMUSG00000020431;ENSMUSG00000028645;ENSMUSG00000050953;ENSMUSG00000035049;ENSMUSG00000018411;ENSMUSG00000028413;ENSMUSG00000031523;ENSMUSG00000022415;ENSMUSG00000032578;ENSMUSG00000024236;ENSMUSG00000016028;ENSMUSG00000049303;ENSMUSG00000027656;ENSMUSG00000032349;ENSMUSG00000030103;ENSMUSG00000031751;ENSMUSG00000021892;ENSMUSG00000022096;ENSMUSG00000061353;ENSMUSG00000084128;ENSMUSG00000057329;ENSMUSG00000040918;ENSMUSG00000041845;ENSMUSG00000005533;ENSMUSG00000039157;ENSMUSG00000021868;ENSMUSG00000039202;ENSMUSG00000037573;ENSMUSG00000039405;ENSMUSG00000018428;ENSMUSG00000021756;ENSMUSG00000066026;ENSMUSG00000020484;ENSMUSG00000026304;ENSMUSG00000024270;ENSMUSG00000063873;ENSMUSG00000023809;ENSMUSG00000020733"
"HALLMARK_MTORC1_SIGNALING",0.000994732690854397,0.00452151223115635,0.45505986738723,-0.438897867289584,-1.60433819261717,197,"ENSMUSG00000034926;ENSMUSG00000028645;ENSMUSG00000025203;ENSMUSG00000022769;ENSMUSG00000000628;ENSMUSG00000032193;ENSMUSG00000029591;ENSMUSG00000093930;ENSMUSG00000001467;ENSMUSG00000040435;ENSMUSG00000058258;ENSMUSG00000035834;ENSMUSG00000024360;ENSMUSG00000020250;ENSMUSG00000032349;ENSMUSG00000030103;ENSMUSG00000023067;ENSMUSG00000021114;ENSMUSG00000030168;ENSMUSG00000025190;ENSMUSG00000024359;ENSMUSG00000027227;ENSMUSG00000020532;ENSMUSG00000021831;ENSMUSG00000030595;ENSMUSG00000066441;ENSMUSG00000020484;ENSMUSG00000031924;ENSMUSG00000002741;ENSMUSG00000026864;ENSMUSG00000032883;ENSMUSG00000035105;ENSMUSG00000022812;ENSMUSG00000027379;ENSMUSG00000030867;ENSMUSG00000031400;ENSMUSG00000020733;ENSMUSG00000024378;ENSMUSG00000027496;ENSMUSG00000024665;ENSMUSG00000020361;ENSMUSG00000029407;ENSMUSG00000021670;ENSMUSG00000020649;ENSMUSG00000018932;ENSMUSG00000026615;ENSMUSG00000030062;ENSMUSG00000031584;ENSMUSG00000027823;ENSMUSG00000063524;ENSMUSG00000020142;ENSMUSG00000045294;ENSMUSG00000020048;ENSMUSG00000033813;ENSMUSG00000006599;ENSMUSG00000037278;ENSMUSG00000038759;ENSMUSG00000056749;ENSMUSG00000039899;ENSMUSG00000021594;ENSMUSG00000026483;ENSMUSG00000029467;ENSMUSG00000032350;ENSMUSG00000022351;ENSMUSG00000020917;ENSMUSG00000031168;ENSMUSG00000022707;ENSMUSG00000021427;ENSMUSG00000032477;ENSMUSG00000020368;ENSMUSG00000029752;ENSMUSG00000041506;ENSMUSG00000025630;ENSMUSG00000015889;ENSMUSG00000026202;ENSMUSG00000078652;ENSMUSG00000029447"
