"preferredName_A","preferredName_B","score","seed_edge"
"Sema6b","Plxna1",0.788,TRUE
"Sema6b","Plxna4",0.809,FALSE
"Sema6b","Plxna3",0.841,TRUE
"Sema6b","Nrp2",0.848,FALSE
"Sema6b","Nrp1",0.927,FALSE
"Plxna3","Plxna4",0.708,TRUE
"Plxna3","Plxna1",0.722,TRUE
"Plxna3","Farp2",0.777,TRUE
"Plxna3","Sema6c",0.778,TRUE
"Plxna3","Sema6d",0.851,TRUE
"Plxna3","Sema3d",0.867,TRUE
"Plxna3","Sema5b",0.894,TRUE
"Plxna3","Sema3e",0.898,TRUE
"Plxna3","Sema5a",0.907,TRUE
"Plxna3","Sema3c",0.908,TRUE
"Plxna3","Sema6a",0.921,TRUE
"Plxna3","Sema3b",0.932,TRUE
"Plxna3","Nrp2",0.985,TRUE
"Plxna3","Sema3f",0.995,TRUE
"Plxna3","Nrp1",0.999,TRUE
"Sema6a","Nrp2",0.865,FALSE
"Sema6a","Plxna1",0.928,TRUE
"Sema6a","Nrp1",0.941,FALSE
"Sema6a","Plxna4",0.999,FALSE
"Nrp1","Nrp2",0.851,FALSE
"Nrp1","Sema5b",0.884,TRUE
"Nrp1","Farp2",0.903,FALSE
"Nrp1","Sema3f",0.998,FALSE
"Nrp1","Sema3e",0.998,FALSE
"Nrp1","Sema3c",0.999,FALSE
"Nrp1","Plxna4",0.999,FALSE
"Nrp1","Sema3b",0.999,FALSE
"Nrp1","Plxna1",0.999,TRUE
"Nrp1","Sema3d",0.999,FALSE
"Sema3c","Plxna4",0.815,FALSE
"Sema3c","Plxna1",0.933,TRUE
"Sema3c","Nrp2",0.99,FALSE
"Sema3d","Plxna1",0.799,TRUE
"Sema3d","Nrp2",0.841,FALSE
"A530064D06Rik","Plxna1",0.897,TRUE
"Sema5b","Plxna4",0.739,TRUE
"Sema5b","Sema5a",0.931,TRUE
"Sema5b","Plxna1",0.961,TRUE
"Sema5a","Plxna4",0.752,FALSE
"Sema5a","Plxna1",0.906,TRUE
"Sema3e","Plxna4",0.832,FALSE
"Sema3e","Plxna1",0.842,TRUE
"Sema3e","Nrp2",0.877,FALSE
"Sema6c","Plxna4",0.742,FALSE
"Sema6c","Plxna1",0.937,TRUE
"Sema6d","Plxna4",0.929,FALSE
"Sema6d","Plxna1",0.997,TRUE
"Sema3b","Plxna1",0.786,TRUE
"Sema3b","Nrp2",0.978,FALSE
"Nrp2","Plxna4",0.929,FALSE
"Nrp2","Plxna1",0.99,TRUE
"Nrp2","Sema3f",0.998,FALSE
"Plxna4","Sema3f",0.818,FALSE
"Plxna4","Farp2",0.875,FALSE
"Plxna4","Plxna1",0.954,TRUE
"Farp2","Plxna1",0.923,TRUE
"Plxna1","Sema3f",0.964,TRUE
