"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSMUSG00000034774",503.475388306876,2.64429327634708,0.212996384936588,1.39537690151581e-36,2.02469188409944e-32,"Dsg1c"
"ENSMUSG00000027890",1456.18040823205,-1.43920451155168,0.120531803960403,3.79464551074063e-34,2.75301531804233e-30,"Gstm4"
"ENSMUSG00000040616",233.084960747301,-1.57213782341264,0.155920994817588,3.88811679866027e-25,1.41041436871401e-21,"Tmem51"
"ENSMUSG00000031584",1969.59782286513,-0.614752877725695,0.0606796841318184,3.3328400925815e-25,1.41041436871401e-21,"Gsr"
"ENSMUSG00000028339",245.887639567427,-1.27769520649123,0.12756372068429,7.47809338665188e-25,2.17014270080638e-21,"Col15a1"
"ENSMUSG00000025002",184.776235730195,-2.95549606645123,0.298917764494612,2.45979852017676e-24,5.94861275462746e-21,"Cyp2c55"
"ENSMUSG00000102095",1213.4461453138,2.34989330530966,0.238929661089155,4.28063697314542e-24,8.87314892576287e-21,"C730036E19Rik"
"ENSMUSG00000004038",1671.89161257983,-2.30069790272563,0.246866137221666,5.60733540057556e-22,1.01703045827939e-18,"Gstm3"
"ENSMUSG00000097426",757.931557207992,2.28745881411989,0.254033251749858,1.17539446263632e-20,1.89499707253922e-17,"Gm8941"
"ENSMUSG00000032548",2205.20615816458,-1.27707797216972,0.146617266992212,1.65944373379377e-19,2.40785285773476e-16,"Slco2a1"
"ENSMUSG00000038060",62.4375612302593,2.41883223232349,0.285631383979538,1.20429163712742e-18,1.52184952092415e-15,"Dlec1"
"ENSMUSG00000085834",232.693670444981,3.57622385332592,0.424846999216286,1.25859367684974e-18,1.52184952092415e-15,"Gm15622"
"ENSMUSG00000040660",461.654325493277,4.76612271546659,0.576013184410581,5.53051412404958e-18,6.17290461076611e-15,"Cyp2b9"
"ENSMUSG00000030342",322.241617087386,-1.29852849042366,0.167452897699874,4.80755822925467e-16,4.65051132709902e-13,"Cd9"
"ENSMUSG00000048368",86.633193258359,1.53140854822275,0.197566523167157,4.63189442300078e-16,4.65051132709902e-13,"Omd"
"ENSMUSG00000055866",1283.92773618528,1.54300995671552,0.199506431618138,5.25542389511422e-16,4.76601254488171e-13,"Per2"
"ENSMUSG00000030257",165.45506970847,-2.8895867942592,0.377010856772018,9.15700661810583e-16,7.81577447227738e-13,"Srgap3"
"ENSMUSG00000026475",2092.78574519369,3.64609583478058,0.47804254562425,1.14747928863316e-15,9.24995804337065e-13,"Rgs16"
"ENSMUSG00000005677",3000.74783767299,1.58700471125647,0.212480251653979,4.12265691679091e-15,3.14840799277032e-12,"Nr1i3"
"ENSMUSG00000023044",6673.59478721416,-2.41062007521851,0.325742646236205,6.25723758426475e-15,4.53962586738408e-12,"Csad"
"ENSMUSG00000032434",3172.9414622274,-0.769697672675817,0.103082455248662,8.19010676972275e-15,5.4017476922126e-12,"Cmtm6"
"ENSMUSG00000069170",251.592851664664,2.16651042225976,0.293105763859143,8.06590679703661e-15,5.4017476922126e-12,"Adgrv1"
"ENSMUSG00000063354",1620.18921429725,-1.33998946967479,0.18194094665056,9.00366752443799e-15,5.68013981650414e-12,"Slc39a4"
"ENSMUSG00000048445",106.73938679943,1.10837231324136,0.151971495536733,1.65764277785565e-14,1.00218319611189e-11,"Ccdc57"
"ENSMUSG00000035914",124.255663671756,-1.07001713228137,0.14669930429723,1.95938680635355e-14,1.09348856000731e-11,"Cd276"
"ENSMUSG00000021259",98.7214766767695,1.57370677646021,0.217545271349545,1.94822058822189e-14,1.09348856000731e-11,"Cyp46a1"
"ENSMUSG00000099568",19.1449077349142,4.34751291066598,0.58927805915887,4.84230967169531e-14,2.50935404772496e-11,"Gm28513"
"ENSMUSG00000045672",2462.59697503316,1.54499356864996,0.216470787518036,4.84099137795888e-14,2.50935404772496e-11,"Col27a1"
"ENSMUSG00000030137",43.2872368975039,-2.58353717790484,0.36523637624022,6.48414079516269e-14,3.24430630820037e-11,"Tuba8"
"ENSMUSG00000110496",146.126556323611,2.57568270325534,0.366567136943467,9.75018475899839e-14,4.71583936176889e-11,"Gm45909"
"ENSMUSG00000108825",195.710461902802,1.55720788262107,0.221565285877381,1.15524818052276e-13,5.40730680625329e-11,"Gm45838"
"ENSMUSG00000040713",8684.98467589703,-0.697946972901268,0.10176416461912,2.69064939405015e-13,1.22004133461461e-10,"Creg1"
"ENSMUSG00000058135",31027.7263207346,-1.11849587454634,0.162389353322091,3.36501052618247e-13,1.47958493136084e-10,"Gstm1"
"ENSMUSG00000028179",12501.3950498543,-0.681975596498537,0.0972953375176018,3.74500888006709e-13,1.59823761322863e-10,"Cth"
"ENSMUSG00000078350",90.2127322060576,-1.07789748846299,0.158107565486088,5.14092425112897e-13,2.13128031096804e-10,"Smim1"
"ENSMUSG00000000594",3502.89619662982,-1.06128148593139,0.156031669084676,5.6515043535676e-13,2.27787022695183e-10,"Gm2a"
"ENSMUSG00000105391",49.3606698062927,1.98512987136949,0.299921203596909,1.44201892492306e-12,5.65505259476582e-10,"Gm43401"
"ENSMUSG00000005873",438.367396036999,-0.647468177867399,0.0988375997922511,4.1589956351653e-12,1.5880796491118e-09,"Reep5"
"ENSMUSG00000074052",270.374582093668,0.874683753406587,0.134917420488352,5.31116407518164e-12,1.97602540335604e-09,"BC048644"
"ENSMUSG00000022425",2831.49195528414,0.913382558112524,0.141089317343403,5.78027617771708e-12,2.09679518346687e-09,"Enpp2"
"ENSMUSG00000029822",237.08162061726,2.15505014321603,0.335962066861222,6.46341694714879e-12,2.28741902202753e-09,"Osbpl3"
"ENSMUSG00000039745",722.274388393636,-0.979778791896648,0.151648622650183,6.75640157250417e-12,2.33417587659608e-09,"Htatip2"
"ENSMUSG00000005674",449.829381403451,1.10415378126992,0.173657370070617,1.07698782045202e-11,3.63420773831601e-09,"Tomm40l"
"ENSMUSG00000041798",7000.87816154837,1.04626201208683,0.165581946633806,1.61913345755049e-11,5.33946056114945e-09,"Gck"
"ENSMUSG00000032540",741.310022093213,-0.554708212541636,0.0877236337718849,2.27779643217643e-11,7.34462805130666e-09,"Abhd5"
"ENSMUSG00000090175",516.646697485,-2.23470003682453,0.361619080246087,2.87808381998234e-11,9.07847744085733e-09,"Ugt1a9"
"ENSMUSG00000099146",1462.88363332617,0.544256966519599,0.0865894737142264,3.01911940971061e-11,9.32072822019168e-09,"0610031O16Rik"
"ENSMUSG00000053414",100.119213293462,-1.31125815100111,0.21222049530738,3.56064935911342e-11,1.076354629182e-08,"Hunk"
"ENSMUSG00000057110",844.692579200939,0.591054384995987,0.0952135660967931,4.48973403777264e-11,1.32951103853227e-08,"Cntrl"
"ENSMUSG00000057465",690.886491056676,1.78114533656839,0.29329685555328,5.61399049943249e-11,1.62918004293531e-08,"Saa2"
"ENSMUSG00000040562",1341.27051308097,-1.16908706069138,0.192747453086549,6.79596231851588e-11,1.93351790669932e-08,"Gstm2"
"ENSMUSG00000001313",322.65899040725,-1.15268643308029,0.192082373495678,9.52048341936285e-11,2.65658104644144e-08,"Rnd2"
"ENSMUSG00000085211",83.5853289326452,2.27299239156911,0.381437351389097,1.01331119158786e-10,2.74957833813579e-08,"B430219N15Rik"
"ENSMUSG00000096215",81.7240445139723,-1.51458742919241,0.25397202093263,1.02327519131174e-10,2.74957833813579e-08,"Smim22"
"ENSMUSG00000089678",5535.35259905534,0.525987668815074,0.0868046908576269,1.2953375777453e-10,3.41733604601534e-08,"Agxt2"
"ENSMUSG00000075517",1676.42413715347,0.989528911916218,0.165728422634683,1.34678147929473e-10,3.48960701152974e-08,"Cyp2d37-ps"
"ENSMUSG00000020182",1810.90912279035,-1.18063258949277,0.198907404974383,1.49479877493035e-10,3.80518074109462e-08,"Ddc"
"ENSMUSG00000030670",420.035811733906,-0.768067297205477,0.128565341109756,1.53095465724615e-10,3.83002622011063e-08,"Cyp2r1"
"ENSMUSG00000000552",436.172522408518,-0.938949243879749,0.160762667133365,2.88113581035762e-10,7.08564078106595e-08,"Zfp385a"
"ENSMUSG00000026822",143.919404952623,1.7747824470032,0.305858713103111,2.96510237092158e-10,7.17060590034535e-08,"Lcn2"
"ENSMUSG00000038776",10074.5699216785,-0.883226748430751,0.152865206620286,4.3968104958232e-10,1.04586426712122e-07,"Ephx1"
"ENSMUSG00000037440",747.560739079376,1.30341183950485,0.227544151320151,5.10117893958898e-10,1.19384042602316e-07,"Vnn1"
"ENSMUSG00000032482",105.343357814561,-2.14370854029406,0.374939490019592,5.29145372862328e-10,1.21871418416387e-07,"Cspg5"
"ENSMUSG00000015837",11317.2118863651,-0.572727382207486,0.0988014630009134,5.82681884946063e-10,1.32104908602615e-07,"Sqstm1"
"ENSMUSG00000023800",569.067265503546,-0.794485129061124,0.138715292639867,6.54777285383255e-10,1.46166437090939e-07,"Tiam2"
"ENSMUSG00000024427",393.378303967052,1.48522782708317,0.261814044606785,6.70460684979859e-10,1.47399765743299e-07,"Spry4"
"ENSMUSG00000061906",407.471077450847,-1.96973865869983,0.348547255980042,6.99493400180646e-10,1.51487302039122e-07,"Ugt2b38"
"ENSMUSG00000021871",1641.08259223722,-0.946700312515808,0.166503754373957,7.27515727947621e-10,1.55239017831176e-07,"Pnp"
"ENSMUSG00000032596",354.753408711591,0.601898871188261,0.105015325002153,8.21483900485749e-10,1.7274973037751e-07,"Uba7"
"ENSMUSG00000000326",23457.2039414196,-0.811318063908338,0.143153164837166,8.75815509390248e-10,1.81544043446464e-07,"Comt"
"ENSMUSG00000040505",3033.61395166533,0.89328303169102,0.158470334464925,1.01978414374081e-09,2.08409407403933e-07,"Abcg5"
"ENSMUSG00000028957",1220.41286940673,1.59277260353284,0.287416193049593,1.39738912020119e-09,2.8161272408499e-07,"Per3"
"ENSMUSG00000070348",525.882449743626,-0.987071820182039,0.178148115290684,1.70456716352125e-09,3.38811911543745e-07,"Ccnd1"
"ENSMUSG00000057522",3853.41625884168,-0.281690056916553,0.0488018387638966,1.79343940702861e-09,3.51659537783582e-07,"Spop"
"ENSMUSG00000027048",17362.0730568756,-0.942752389545405,0.171450162804909,2.35165585682276e-09,4.54967019766644e-07,"Abcb11"
"ENSMUSG00000006390",948.864134619688,-0.799155905563184,0.145450935740039,2.38983586282047e-09,4.56269978546382e-07,"Elovl1"
"ENSMUSG00000025375",373.202500466799,1.14150286118205,0.21051923653982,2.92483275627992e-09,5.51160042774308e-07,"Aatk"
"ENSMUSG00000007872",1780.71981970396,-1.42971328882976,0.268173069550412,4.58280390875534e-09,8.52519034821025e-07,"Id3"
"ENSMUSG00000061292",1015.4361831682,-1.88983330776215,0.356498362621404,4.997147882676e-09,9.17830579463655e-07,"Cyp3a59"
"ENSMUSG00000010122",3957.88078789931,0.549864852766069,0.101618072451693,5.48893494654403e-09,9.95555575929424e-07,"Slc47a1"
"ENSMUSG00000028037",73.0615134760074,0.998289755519876,0.187324176027071,5.98935109522613e-09,1.07290721471273e-06,"Ifi44"
"ENSMUSG00000052151",396.08074713663,-0.707784160415863,0.132769010927574,6.40552679467138e-09,1.13346577793514e-06,"Plpp2"
"ENSMUSG00000064254",1384.41317076691,-1.07265436091495,0.203171058417656,6.64252459090782e-09,1.1612413471575e-06,"Ethe1"
"ENSMUSG00000038745",6204.5130273611,0.545642402825563,0.101772326776229,7.24937062454457e-09,1.23751020896637e-06,"Nlrp6"
"ENSMUSG00000067389",105.441814785925,1.22496945562571,0.233088324879819,7.20028198368267e-09,1.23751020896637e-06,"Gm17080"
"ENSMUSG00000049532",120.348660914661,-0.792116772573234,0.149612125357765,7.72838162165673e-09,1.30393973639813e-06,"Sall2"
"ENSMUSG00000029254",51.497023631564,1.897757223332,0.364838568194038,8.4090970410215e-09,1.40248273638186e-06,"Stap1"
"ENSMUSG00000034201",600.750015446457,-0.465768491786793,0.0868780005357588,8.88600189240323e-09,1.46518053930422e-06,"Gas2l1"
"ENSMUSG00000048826",383.592912273094,-0.714827424044061,0.135786008303307,9.47652645900738e-09,1.54499324629435e-06,"Dact2"
"ENSMUSG00000110386",149.240247108986,1.10062793294239,0.210488666919241,9.62488613350276e-09,1.55174553107917e-06,"Gm42031"
"ENSMUSG00000030108",5817.60647962981,-0.495050531871754,0.0939868395350463,1.02912392139569e-08,1.64094374719247e-06,"Slc6a13"
"ENSMUSG00000052229",96.5749271501194,1.25538185785105,0.240848718211602,1.09955899610759e-08,1.73419576451316e-06,"Gpr17"
"ENSMUSG00000023206",1034.66089767304,0.697377190631406,0.133524957976371,1.20609443007484e-08,1.88176668606301e-06,"Il15ra"
"ENSMUSG00000056310",573.486419200471,-0.444638770523058,0.0838119228842611,1.24866197765166e-08,1.927455882524e-06,"Tyw1"
"ENSMUSG00000068762",2753.74334771485,-0.806382918129513,0.156516779653888,1.49676771000503e-08,2.28611573391295e-06,"Gstm6"
"ENSMUSG00000028979",5860.30640031656,0.366093621731026,0.0687170912133363,1.53582808571482e-08,2.29740881687856e-06,"Masp2"
"ENSMUSG00000010095",938.463535446503,-0.566746372464678,0.10877999888879,1.53168579338528e-08,2.29740881687856e-06,"Slc3a2"
"ENSMUSG00000000303",1313.08065291824,-0.804863099337575,0.157161151979626,1.83405555991271e-08,2.66121461743334e-06,"Cdh1"
"ENSMUSG00000022351",1927.2188631814,-1.64467428029207,0.324712848462326,1.81916911200905e-08,2.66121461743334e-06,"Sqle"
"ENSMUSG00000053559",484.781990250733,-1.04196013455757,0.20446822529259,1.80425174171741e-08,2.66121461743334e-06,"Smagp"
"ENSMUSG00000023057",2071.26077192656,0.636810144394308,0.123420274062138,1.86172860844205e-08,2.67462199094002e-06,"Fabp2"
"ENSMUSG00000071637",154.495799827512,0.765584205964636,0.149795627407661,1.9684158861336e-08,2.80016808899986e-06,"Cebpd"
"ENSMUSG00000078484",321.544378308119,0.48372767085597,0.0932157666900185,2.11187895080506e-08,2.97508384234771e-06,NA
"ENSMUSG00000108425",79.8323823453028,1.57831612368138,0.312015737650785,2.27885225064761e-08,3.14915677684731e-06,"Gm44706"
"ENSMUSG00000055730",9380.40958801234,-1.1515868925745,0.228510766866649,2.27764159003547e-08,3.14915677684731e-06,"Ces2a"
"ENSMUSG00000003053",23432.7135366829,-1.1705537690217,0.233190036174379,2.52502427463966e-08,3.45642473820958e-06,"Cyp2c29"
"ENSMUSG00000032773",17.487534249692,2.25711338050943,0.453268229847169,2.58531317852317e-08,3.50587796452068e-06,"Chrm1"
