"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MTORC1_SIGNALING",1.82216936573388e-12,9.11084682866942e-11,0.898671232061694,-0.652404720303377,-2.22237047896095,196,"ENSMUSG00000031584;ENSMUSG00000030342;ENSMUSG00000028179;ENSMUSG00000015837;ENSMUSG00000022351;ENSMUSG00000024799;ENSMUSG00000037071;ENSMUSG00000005667;ENSMUSG00000031924;ENSMUSG00000066441;ENSMUSG00000001467;ENSMUSG00000002870;ENSMUSG00000058258;ENSMUSG00000093930;ENSMUSG00000030867;ENSMUSG00000022769;ENSMUSG00000029752;ENSMUSG00000023067;ENSMUSG00000025203;ENSMUSG00000028932;ENSMUSG00000035105;ENSMUSG00000026864;ENSMUSG00000020048;ENSMUSG00000032477;ENSMUSG00000027496;ENSMUSG00000020142;ENSMUSG00000029446;ENSMUSG00000032418;ENSMUSG00000031400;ENSMUSG00000031266;ENSMUSG00000020423;ENSMUSG00000024640;ENSMUSG00000028691;ENSMUSG00000040010;ENSMUSG00000022673;ENSMUSG00000015806;ENSMUSG00000021832;ENSMUSG00000058454;ENSMUSG00000024966;ENSMUSG00000020720;ENSMUSG00000032350;ENSMUSG00000032715;ENSMUSG00000021427;ENSMUSG00000068417;ENSMUSG00000034926;ENSMUSG00000003814;ENSMUSG00000007458;ENSMUSG00000027746;ENSMUSG00000030062;ENSMUSG00000040435;ENSMUSG00000021266;ENSMUSG00000014226;ENSMUSG00000074656;ENSMUSG00000071866;ENSMUSG00000030603;ENSMUSG00000026202;ENSMUSG00000021594;ENSMUSG00000026914;ENSMUSG00000032018;ENSMUSG00000020361;ENSMUSG00000045294;ENSMUSG00000030560;ENSMUSG00000018189;ENSMUSG00000022193;ENSMUSG00000024378;ENSMUSG00000020250;ENSMUSG00000059182;ENSMUSG00000029467;ENSMUSG00000032349;ENSMUSG00000029407;ENSMUSG00000037278;ENSMUSG00000020368;ENSMUSG00000028057;ENSMUSG00000035834;ENSMUSG00000021670;ENSMUSG00000024360;ENSMUSG00000029623;ENSMUSG00000029447;ENSMUSG00000020936;ENSMUSG00000031168;ENSMUSG00000035198;ENSMUSG00000060073;ENSMUSG00000023456"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",6.62485083450859e-11,1.65621270862715e-09,0.839088935621274,-0.777621275675836,-2.32263321091705,75,"ENSMUSG00000030342;ENSMUSG00000064254;ENSMUSG00000022351;ENSMUSG00000027533;ENSMUSG00000038539;ENSMUSG00000024827;ENSMUSG00000024799;ENSMUSG00000037071;ENSMUSG00000026944;ENSMUSG00000029338;ENSMUSG00000001467;ENSMUSG00000021273;ENSMUSG00000006517;ENSMUSG00000037797;ENSMUSG00000058258;ENSMUSG00000093930;ENSMUSG00000059743;ENSMUSG00000004035;ENSMUSG00000025203;ENSMUSG00000024039;ENSMUSG00000027952;ENSMUSG00000024843;ENSMUSG00000017390;ENSMUSG00000027605;ENSMUSG00000041939;ENSMUSG00000023905;ENSMUSG00000020123;ENSMUSG00000058454;ENSMUSG00000031349;ENSMUSG00000055401;ENSMUSG00000032715;ENSMUSG00000024479;ENSMUSG00000033105"
"HALLMARK_MYC_TARGETS_V1",4.58373419404965e-09,7.63955699008275e-08,0.761460801445585,-0.599052558885351,-2.05757587565998,201,"ENSMUSG00000035960;ENSMUSG00000006398;ENSMUSG00000029430;ENSMUSG00000002870;ENSMUSG00000005410;ENSMUSG00000026355;ENSMUSG00000054766;ENSMUSG00000022234;ENSMUSG00000024026;ENSMUSG00000001416;ENSMUSG00000029730;ENSMUSG00000022673;ENSMUSG00000022346;ENSMUSG00000021832;ENSMUSG00000017221;ENSMUSG00000038965;ENSMUSG00000058799;ENSMUSG00000067194;ENSMUSG00000026229;ENSMUSG00000058355;ENSMUSG00000001785;ENSMUSG00000030751;ENSMUSG00000056076;ENSMUSG00000031948;ENSMUSG00000039067;ENSMUSG00000028426;ENSMUSG00000074656;ENSMUSG00000071072;ENSMUSG00000071866;ENSMUSG00000016554;ENSMUSG00000030603;ENSMUSG00000026914;ENSMUSG00000027203;ENSMUSG00000024997;ENSMUSG00000024480;ENSMUSG00000020372;ENSMUSG00000023944;ENSMUSG00000037894;ENSMUSG00000030007;ENSMUSG00000037851;ENSMUSG00000001440;ENSMUSG00000037601;ENSMUSG00000021774;ENSMUSG00000020471;ENSMUSG00000030744;ENSMUSG00000025869;ENSMUSG00000021377;ENSMUSG00000013629;ENSMUSG00000005732;ENSMUSG00000029147;ENSMUSG00000015671;ENSMUSG00000020368;ENSMUSG00000052146;ENSMUSG00000067274;ENSMUSG00000012848;ENSMUSG00000022881;ENSMUSG00000042354;ENSMUSG00000061613;ENSMUSG00000059070;ENSMUSG00000024360;ENSMUSG00000028837;ENSMUSG00000029614;ENSMUSG00000027715;ENSMUSG00000028140;ENSMUSG00000025794;ENSMUSG00000025439;ENSMUSG00000020180;ENSMUSG00000027566;ENSMUSG00000029686;ENSMUSG00000069744;ENSMUSG00000018583;ENSMUSG00000062070;ENSMUSG00000034024;ENSMUSG00000007739;ENSMUSG00000004897;ENSMUSG00000025364;ENSMUSG00000002477;ENSMUSG00000062867;ENSMUSG00000057278;ENSMUSG00000005846;ENSMUSG00000011179;ENSMUSG00000057130;ENSMUSG00000028495;ENSMUSG00000000028;ENSMUSG00000021024;ENSMUSG00000024436;ENSMUSG00000003868;ENSMUSG00000028936;ENSMUSG00000025630;ENSMUSG00000021131;ENSMUSG00000020849;ENSMUSG00000068882;ENSMUSG00000040731;ENSMUSG00000021116;ENSMUSG00000011257;ENSMUSG00000022471;ENSMUSG00000001056;ENSMUSG00000001674;ENSMUSG00000062006;ENSMUSG00000076432;ENSMUSG00000028394;ENSMUSG00000025967;ENSMUSG00000060373;ENSMUSG00000028156;ENSMUSG00000008373;ENSMUSG00000038845;ENSMUSG00000022283;ENSMUSG00000027236;ENSMUSG00000035215"
"HALLMARK_E2F_TARGETS",2.9915633204503e-05,0.000373945415056288,0.575610261071129,-0.524887904059114,-1.76909619987804,184,"ENSMUSG00000001525;ENSMUSG00000006398;ENSMUSG00000029430;ENSMUSG00000005667;ENSMUSG00000007646;ENSMUSG00000002870;ENSMUSG00000032218;ENSMUSG00000005410;ENSMUSG00000033970;ENSMUSG00000026355;ENSMUSG00000020737;ENSMUSG00000028551;ENSMUSG00000030867;ENSMUSG00000023067;ENSMUSG00000002055;ENSMUSG00000029247;ENSMUSG00000032477;ENSMUSG00000021569;ENSMUSG00000027496;ENSMUSG00000028832;ENSMUSG00000040084;ENSMUSG00000029730;ENSMUSG00000060860;ENSMUSG00000050410;ENSMUSG00000022673;ENSMUSG00000022346;ENSMUSG00000049932;ENSMUSG00000041859;ENSMUSG00000030042;ENSMUSG00000019942;ENSMUSG00000005470;ENSMUSG00000058799;ENSMUSG00000020914;ENSMUSG00000020897;ENSMUSG00000031353;ENSMUSG00000056394;ENSMUSG00000034349;ENSMUSG00000027203;ENSMUSG00000020525;ENSMUSG00000031004;ENSMUSG00000037313;ENSMUSG00000037894;ENSMUSG00000032397;ENSMUSG00000046711;ENSMUSG00000037601;ENSMUSG00000030677;ENSMUSG00000023015;ENSMUSG00000020471;ENSMUSG00000052926;ENSMUSG00000023505;ENSMUSG00000021377;ENSMUSG00000005732;ENSMUSG00000029715;ENSMUSG00000028873"
"HALLMARK_UV_RESPONSE_UP",4.94897192531784e-05,0.000423109594590013,0.557332238758646,-0.564701563909887,-1.84067462494112,134,"ENSMUSG00000040713;ENSMUSG00000038776;ENSMUSG00000015837;ENSMUSG00000036078;ENSMUSG00000031924;ENSMUSG00000022863;ENSMUSG00000000957;ENSMUSG00000020307;ENSMUSG00000025037;ENSMUSG00000026456;ENSMUSG00000022564;ENSMUSG00000029752;ENSMUSG00000031628;ENSMUSG00000022241;ENSMUSG00000047547;ENSMUSG00000027562;ENSMUSG00000006782;ENSMUSG00000034165;ENSMUSG00000024843;ENSMUSG00000052837;ENSMUSG00000020423;ENSMUSG00000024391;ENSMUSG00000032315;ENSMUSG00000005469;ENSMUSG00000049932;ENSMUSG00000024966;ENSMUSG00000032932;ENSMUSG00000073987;ENSMUSG00000039323;ENSMUSG00000030062;ENSMUSG00000047714;ENSMUSG00000026202;ENSMUSG00000041571;ENSMUSG00000079507;ENSMUSG00000026833;ENSMUSG00000021282;ENSMUSG00000021948;ENSMUSG00000019558;ENSMUSG00000063576"
"HALLMARK_XENOBIOTIC_METABOLISM",5.07731513508016e-05,0.000423109594590013,0.557332238758646,-0.504196178998356,-1.71562814344822,194,"ENSMUSG00000027890;ENSMUSG00000031584;ENSMUSG00000025002;ENSMUSG00000023044;ENSMUSG00000020182;ENSMUSG00000038776;ENSMUSG00000000326;ENSMUSG00000029201;ENSMUSG00000026866;ENSMUSG00000025037;ENSMUSG00000015090;ENSMUSG00000031844;ENSMUSG00000003623;ENSMUSG00000074183;ENSMUSG00000037621;ENSMUSG00000027562;ENSMUSG00000006373;ENSMUSG00000020644;ENSMUSG00000028755;ENSMUSG00000063558;ENSMUSG00000027828;ENSMUSG00000032315;ENSMUSG00000021884;ENSMUSG00000026170;ENSMUSG00000032350;ENSMUSG00000028378;ENSMUSG00000074227;ENSMUSG00000028961;ENSMUSG00000022474;ENSMUSG00000031948;ENSMUSG00000071072;ENSMUSG00000020873;ENSMUSG00000002769;ENSMUSG00000024863;ENSMUSG00000008384;ENSMUSG00000029467;ENSMUSG00000025068;ENSMUSG00000028521;ENSMUSG00000020865;ENSMUSG00000007656;ENSMUSG00000032349;ENSMUSG00000051483;ENSMUSG00000037278"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.000128501755863031,0.000917869684735934,0.518848077743792,-0.517781477890793,-1.71344695680363,156,"ENSMUSG00000030342;ENSMUSG00000070348;ENSMUSG00000000303;ENSMUSG00000027533;ENSMUSG00000006398;ENSMUSG00000036764;ENSMUSG00000022863;ENSMUSG00000029201;ENSMUSG00000021273;ENSMUSG00000057963;ENSMUSG00000022096;ENSMUSG00000031176;ENSMUSG00000032902;ENSMUSG00000015093;ENSMUSG00000025402;ENSMUSG00000039474;ENSMUSG00000024885;ENSMUSG00000020142;ENSMUSG00000027562;ENSMUSG00000031751;ENSMUSG00000020644;ENSMUSG00000031266;ENSMUSG00000056071;ENSMUSG00000034917;ENSMUSG00000040010;ENSMUSG00000028456;ENSMUSG00000029664;ENSMUSG00000003779;ENSMUSG00000058454;ENSMUSG00000024975;ENSMUSG00000020914;ENSMUSG00000041238;ENSMUSG00000031821;ENSMUSG00000015966;ENSMUSG00000024029;ENSMUSG00000001247;ENSMUSG00000028671;ENSMUSG00000026791;ENSMUSG00000058207;ENSMUSG00000026833;ENSMUSG00000028416;ENSMUSG00000032349;ENSMUSG00000032578;ENSMUSG00000052926;ENSMUSG00000005268;ENSMUSG00000036992;ENSMUSG00000021751;ENSMUSG00000039236"
"HALLMARK_APOPTOSIS",0.000208307167243283,0.00130191979527052,0.518848077743792,-0.538926156034685,-1.77288186751148,141,"ENSMUSG00000031584;ENSMUSG00000028179;ENSMUSG00000040562;ENSMUSG00000015837;ENSMUSG00000070348;ENSMUSG00000022863;ENSMUSG00000023067;ENSMUSG00000031628;ENSMUSG00000010609;ENSMUSG00000022763;ENSMUSG00000020423;ENSMUSG00000023905;ENSMUSG00000020123;ENSMUSG00000023043;ENSMUSG00000024975;ENSMUSG00000028063;ENSMUSG00000075706;ENSMUSG00000020914;ENSMUSG00000022136;ENSMUSG00000003873;ENSMUSG00000004951;ENSMUSG00000003541;ENSMUSG00000021365;ENSMUSG00000024927;ENSMUSG00000032018;ENSMUSG00000027398"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000399109878203614,0.00221727710113119,0.49849310876659,-0.684748699976539,-1.88209915539415,45,"ENSMUSG00000031584;ENSMUSG00000032802;ENSMUSG00000050708;ENSMUSG00000075701;ENSMUSG00000031400;ENSMUSG00000052837;ENSMUSG00000028691;ENSMUSG00000032350;ENSMUSG00000075706;ENSMUSG00000024986;ENSMUSG00000039515;ENSMUSG00000008540;ENSMUSG00000020250;ENSMUSG00000096472;ENSMUSG00000018196;ENSMUSG00000028367;ENSMUSG00000028124;ENSMUSG00000022982;ENSMUSG00000075704"
"HALLMARK_G2M_CHECKPOINT",0.000576146934791769,0.00288073467395884,0.477270815362862,-0.472253912808661,-1.58589583216842,178,"ENSMUSG00000070348;ENSMUSG00000022351;ENSMUSG00000038539;ENSMUSG00000026622;ENSMUSG00000006398;ENSMUSG00000002870;ENSMUSG00000032218;ENSMUSG00000005410;ENSMUSG00000027490;ENSMUSG00000026355;ENSMUSG00000020737;ENSMUSG00000028551;ENSMUSG00000030867;ENSMUSG00000002297;ENSMUSG00000001403;ENSMUSG00000049327;ENSMUSG00000027469;ENSMUSG00000032477;ENSMUSG00000027496;ENSMUSG00000028832;ENSMUSG00000060860;ENSMUSG00000040010;ENSMUSG00000022346;ENSMUSG00000049932;ENSMUSG00000041859;ENSMUSG00000019942;ENSMUSG00000031609;ENSMUSG00000020914;ENSMUSG00000020897;ENSMUSG00000031821;ENSMUSG00000032402;ENSMUSG00000028426;ENSMUSG00000028312;ENSMUSG00000034349;ENSMUSG00000026605;ENSMUSG00000016477;ENSMUSG00000031004;ENSMUSG00000037313;ENSMUSG00000037894;ENSMUSG00000046711;ENSMUSG00000012443;ENSMUSG00000018983;ENSMUSG00000001440;ENSMUSG00000004085;ENSMUSG00000030677;ENSMUSG00000023015"
