"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","16/106","67/5956",0.238805970149254,13.4181920585751,13.759126990409,1.69253138228947e-14,3.28351088164157e-12,3.10000484756176e-12,"14865/72082/14864/14862/394434/14863/100559/100041449/13095/14858/100043108/14869/13112/13099/14857/100042295",16
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","13/106","77/5956",0.168831168831169,9.48640039206077,10.0886494785673,6.07696946234531e-10,5.89466037847495e-08,5.56522466551623e-08,"72082/13094/394434/100559/100041449/13095/13089/100043108/241452/13112/17252/13099/13118",13
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","11/106","53/5956",0.207547169811321,11.6618013527946,10.4941679959002,1.37202919656124e-09,8.87245547109605e-08,8.37659930532128e-08,"14865/14864/14862/394434/14863/100559/14858/14869/55990/14857/100042295",11
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","11/106","69/5956",0.159420289855072,8.95761553185671,8.94903821322881,2.59110335596456e-08,1.25668512764281e-06,1.18645258931009e-06,"72082/13094/394434/100559/100041449/13095/13089/100043108/241452/13112/13099",11
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","10/106","57/5956",0.175438596491228,9.85766302548825,9.04447299807846,4.46661881917683e-08,1.73304810184061e-06,1.63619299902478e-06,"14865/14864/14862/394434/14863/100559/14858/14869/14857/100042295",10
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes","11/106","82/5956",0.134146341463415,7.53750575241602,8.02357509417083,1.64123060597689e-07,5.30664562599193e-06,5.01007237613997e-06,"14865/14864/14862/394434/14863/100559/14858/14869/436059/14857/100042295",11
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","9/106","53/5956",0.169811320754717,9.54147383410466,8.40717796005325,2.93883690173068e-07,8.14477655622503e-06,7.68958828422764e-06,"72082/13094/13095/13089/100043108/11684/13099/19215/13118",9
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation","14/106","155/5956",0.0903225806451613,5.07510651247718,6.9194131626395,4.85899588696526e-07,1.17830650258907e-05,1.11245432148941e-05,"14865/14864/13094/12355/14862/394434/14863/100559/100041449/14858/13089/13112/14857/100042295",14
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","9/106","73/5956",0.123287671232877,6.92737141380202,6.85867192833673,4.79034852721811e-06,0.000103258623808924,9.7487794589e-05,"14865/14864/14862/14863/14858/14869/12575/14857/100042295",9
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","8/106","58/5956",0.137931034482759,7.7501626545218,6.95331225836242,7.0774514356817e-06,0.000133261567041751,0.000125813959117009,"14865/14864/14862/14863/14858/14869/14857/100042295",8
"Metabolism","Lipid metabolism","mmu00591","Linoleic acid metabolism","6/106","28/5956",0.214285714285714,12.0404312668464,7.88182592619077,7.5560682343261e-06,0.000133261567041751,0.000125813959117009,"72082/100041449/13095/100043108/13112/13099",6
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","10/106","143/5956",0.0699300699300699,3.92927826890091,4.77248277406547,0.000206807033429142,0.00334338037377112,0.00315652840497111,"14865/14864/14862/14863/14858/14869/23882/12575/14857/100042295",10
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","8/106","125/5956",0.064,3.59607547169811,3.94835944239484,0.00162428998667979,0.0242394044166061,0.0228847334155695,"14865/14864/14862/14863/14858/14869/14857/100042295",8
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","4/106","32/5956",0.125,7.02358490566038,4.59873498725558,0.00232264646382759,0.0321852438558966,0.0303865026094737,"18627/18628/18626/19885",4
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","6/106","81/5956",0.0740740740740741,4.16212438853948,3.85685583967962,0.00303757315384315,0.0392859461230381,0.0370903669311374,"72082/13195/13095/100043108/11684/13099",6
