"gene","cid","raw_id","compound_name"
"Angptl4","3931","-10.CID100003931","9,12-Octadecadienoic Acid"
"Angptl4","77998","-10.CID100077998","C22H23N3O7S"
"Angptl4","985","-10.CID100000985","Palmitic Acid"
"Angptl4","231","-10.CID100000231","5,8,11,14-Eicosatetraenoic acid, (5Z,8Z,11Z,14Z)-"
"Angptl4","860","-10.CID100000860","Linseed Acid"
"Angptl4","1424","-10.CID100001424","13-Hydroxyoctadeca-9,11-dienoic acid"
"Angptl4","1927","-10.CID100001927","9-Hydroxy-10,12-Octadecadienoic Acid"
"Angptl4","3209","-10.CID100003209","5,8,11,14,17-Eicosapentaenoic Acid"
"Angptl4","4829","-10.CID100004829","Pioglitazone"
"Sdc1","18845","-10.CID100018845","Iduronic Acid"
"Sdc1","150835","-10.CID100150835","[3,7-Dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenyl] octadeca-9,12-dienoate"
"Sdc1","122008","-10.CID100122008","9-cis-RetinylStearate-d5"
"Sdc1","961","-10.CID100000961","Hydroxide"
"Sdc1","175","-10.CID100000175","Acetate"
"Sdc1","1172","-10.CID100001172","(5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate"
"Sdc3","18845","-10.CID100018845","Iduronic Acid"
"Sdc3","175","-10.CID100000175","Acetate"
"Sdc2","18845","-10.CID100018845","Iduronic Acid"
"Cdh5","271","-10.CID100000271","Calcium Cation"
