"gene","cid","raw_id","compound_name"
"Sema5b","899","-10.CID100000899","N-Acetyl-Hexosamine"
"Plxna1","238","-10.CID100000238","Phycoerythrin"
"Plxna1","888","-10.CID100000888","Magnesium ion"
"Plxna1","197","-10.CID100000197","Adenosine 5'-(trihydrogen pyrophosphate), sodium salt (1:3)"
"Plxna3","238","-10.CID100000238","Phycoerythrin"
"Plxna3","753","-10.CID100000753","Glycerol"
"Plxna3","197","-10.CID100000197","Adenosine 5'-(trihydrogen pyrophosphate), sodium salt (1:3)"
"Plxna3","762","-10.CID100000762",NA
"Nrp1","1003","-10.CID100001003","Dihydrogenphosphate"
"Nrp2","5291","-10.CID100005291","Imatinib"
"Nrp2","151193","-10.CID100151193","Vatalanib Succinate"
"Nrp2","3086685","-10.CID103086685","N-Methyl-2-({3-[2-(pyridin-2-yl)ethenyl]-1H-indazol-6-yl}sulfanyl)benzamide"
"Nrp2","3086686","-10.CID103086686","N-(2-(Diethylamino)ethyl)-5-((5-fluoro-2-oxoindolin-3-ylidene)methyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide"
"Nrp2","9933475","-10.CID109933475","Cediranib"
"Nrp2","123015","-10.CID100123015","Semaxinib"
"Nrp2","10113978","-10.CID110113978","Pazopanib"
"Nrp2","174","-10.CID100000174","Ethylene Glycol"
"Nrp2","271","-10.CID100000271","Calcium Cation"
"Nrp2","753","-10.CID100000753","Glycerol"
"Nrp2","899","-10.CID100000899","N-Acetyl-Hexosamine"
"Nrp2","1352","-10.CID100001352","iso-H 7"
"Nrp2","3134","-10.CID100003134","6-Dimethylaminopurine"
"Nrp2","3220","-10.CID100003220","Emodin"
"Nrp2","3544","-10.CID100003544","N-(2-Aminoethyl)isoquinoline-5-sulfonamide"
"Nrp2","3546","-10.CID100003546","N-(2-((Aminoiminomethyl)amino)ethyl)-5-isoquinolinesulfonamide"
"Nrp2","3547","-10.CID100003547","Fasudil"
"Nrp2","3837","-10.CID100003837","N-(2-(((3-(4-Chlorophenyl)-2-propen-1-yl)methylamino)methyl)phenyl)-N-(2-hydroxyethyl)-4-methoxybenzenesulfonamide"
"Nrp2","3843","-10.CID100003843","(9S,10R,12R)-2,3,9,10,11,12-Hexahydro-10-methoxy-2,9-dimethyl-1-oxo-9,12-epoxy-1H-diindolo[1,2,3-fg:3',2',1'-kl]pyrrolo[3,4-i][1,6]benzodiazocine-10-carboxylic acid, methyl ester"
"Nrp2","4713","-10.CID100004713","2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"
"Nrp2","5097","-10.CID100005097","2-(1-Ethyl-2-hydroxyethylamino)-6-benzylamino-9-isopropylpurine"
