"preferredName_A","preferredName_B","score","organ_A","organ_B"
"Cyp2b13","Cyp2b9",0.861,"Liver","Liver"
"Nr1i3","Cyp2b9",0.773,"Liver","Liver"
"Lcn2","Hamp2",0.838,"Liver","Liver"
"Per2","Per3",0.999,"Liver","Liver"
"Gm10717","Gm10718",0.814,"LV","LV"
"Gm10717","Gm10722",0.815,"LV","LV"
"Gm10717","Gm10800",0.816,"LV","LV"
"Gm10717","Gm10801",0.817,"LV","LV"
"Gm10718","Gm10722",0.813,"LV","LV"
"Gm10718","Gm10801",0.814,"LV","LV"
"Gm10718","Gm10800",0.814,"LV","LV"
"Gm10800","Gm10722",0.815,"LV","LV"
"Gm10800","Gm10801",0.817,"LV","LV"
"Gm10801","Gm10722",0.816,"LV","LV"
